ASV_ID,group,taxon1,taxon2,taxon3,taxon4,taxon5,mean_similarity
ASV1,planktonic,Globothalamea,Rotaliida,Globigerinitidae,Globigerinita,Globigerinita_uvula,1
ASV2,planktonic,Globothalamea,Rotaliida,Globorotaliidae,Neogloboquadrina,Neogloboquadrina_pachyderma,1
ASV3,benthic,Monothalamea,CladeBM,CladeBM_X,Micrometula,Micrometula_sp,1
ASV4,planktonic,Globothalamea,Rotaliida,Globorotaliidae,Neogloboquadrina,Neogloboquadrina_pachyderma,0.987
ASV5,benthic,Monothalamea,CladeA,Limaxiidae,Limaxia,Limaxia_alba,1
ASV6,benthic,Globothalamea,Rotaliida,Rotaliida_X,Rotaliida_XX,Rotaliida_XX_sp,0.992
ASV7,benthic,Globothalamea,Textulariida,Ammosphaeroidinidae,Cribrostomoides,Cribrostomoides_crassimargo,1
ASV8,benthic,Globothalamea,Textulariida,Reophacidae,Reophax,Reophax_dentaliniformis,1
ASV9,benthic,Globothalamea,Rotaliida,Stainforthiidae,Stainforthia,Stainforthia_sp,0.923
ASV10,unassigned,unassigned,unassigned,,,,
ASV11,benthic,Globothalamea,Rotaliida,Stainforthiidae,Stainforthia,Stainforthia_sp,1
ASV12,benthic,Globothalamea,Rotaliida,Rotaliida_X,Rotaliida_XX,Rotaliida_XX_sp,0.952
ASV13,benthic,Monothalamea,CladeC,CladeC_X,Cylindrogullmia,Cylindrogullmia_alba,1
ASV14,benthic,Globothalamea,Textulariida,Reophacidae,Reophax,Reophax_sp,0.943
ASV15,benthic,Monothalamea,ENFOR2,ENFOR2_X,ENFOR2_XX,ENFOR2_XX_sp,0.967
ASV16,benthic,Globothalamea,Rotaliida,Cibicididae,Cibicides,Cibicides_sp,0.929
ASV17,benthic,Monothalamea,CladeC,CladeC_X,Toxisarcon,Toxisarcon_sp,1
ASV18,benthic,Monothalamea,CladeY,CladeY_X,,,1
ASV19,unassigned,unassigned,unassigned,,,,
ASV20,planktonic,Globothalamea,Rotaliida,Globorotaliidae,Neogloboquadrina,Neogloboquadrina_pachyderma,0.993
ASV21,benthic,Monothalamea,CladeG,Shepheardellidae,Shepheardellidae_X,Shepheardellidae_X_sp,0.923
ASV22,planktonic,Globothalamea,Rotaliida,Globorotaliidae,Neogloboquadrina,Neogloboquadrina_pachyderma,0.98
ASV24,benthic,Globothalamea,Rotaliida,Rosalinidae,Rosalina,Rosalina_sp,1
ASV25,planktonic,Globothalamea,Rotaliida,Globorotaliidae,Neogloboquadrina,Neogloboquadrina_pachyderma,0.993
ASV26,benthic,Monothalamea,Monothalamea_X,Monothalamea_XX,Monothalamea_XXX,Monothalamea_XXX_sp,0.95
ASV27,benthic,Globothalamea,Textulariida,Ammosphaeroidinidae,Cribrostomoides,Cribrostomoides_jeffreysii,0.915
ASV28,benthic,Monothalamea,Monothalamea_X,Monothalamea_XX,Monothalamea_XXX,Monothalamea_XXX_sp,0.958
ASV29,benthic,Monothalamea,CladeY,CladeY_X,CladeY_XX,CladeY_XX_sp,1
ASV30,benthic,Globothalamea,Rotaliida,Buliminellidae,Buliminella,Buliminella_elegantissima,0.902
ASV31,benthic,Globothalamea,Rotaliida,Cibicididae,Cibicides,Cibicides_fletcheri,1
ASV32,benthic,Monothalamea,CladeE,Psammophagidae,Psammophaga,Psammophaga_sp,1
ASV33,benthic,Globothalamea,Rotaliida,Globobuliminidae,Globobulimina,Globobulimina_auriculata,0.985
ASV34,unassigned,unassigned,unassigned,,,,
ASV35,unassigned,unassigned,unassigned,,,,
ASV36,benthic,Globothalamea,Rotaliida,Nonionidae,Nonionellina,Nonionellina_labradorica,1
ASV38,benthic,Globothalamea,Rotaliida,Globobuliminidae,Globobulimina,Globobulimina_auriculata,0.993
ASV39,benthic,Monothalamea,Monothalamea_X,Monothalamea_XX,Monothalamea_XXX,Monothalamea_XXX_sp,0.983
