"","ASV","station_1","station_2","sample_type","d2s","threshold"
"1","ASV5","HR04","KH09","surface_water",398047.40723639,0
"2","ASV5","HR04","KH09","100m_water",398047.40723639,0
"3","ASV5","HR04","NC01","bottom_water",693470.71843196,0
"4","ASV5","HR07","KH09","surface_water",403451.383333803,0
"5","ASV5","HR07","KH09","100m_water",403451.383333803,0
"6","ASV5","HR07","NC01","bottom_water",697027.596674895,0
"7","ASV5","IS01","KH09","surface_water",364129.374593908,0
"8","ASV5","IS01","KH09","100m_water",364129.374593908,0
"9","ASV5","IS01","NC01","bottom_water",830997.627207218,0
"10","ASV5","IS02","KH09","surface_water",324403.559975241,0
"11","ASV5","IS02","KH09","100m_water",324403.559975241,0
"12","ASV5","IS02","NC01","bottom_water",805587.207051306,0
"13","ASV5","KH01","KH09","surface_water",324730.507469159,0
"14","ASV5","KH01","KH09","100m_water",324730.507469159,0
"15","ASV5","KH01","NC01","bottom_water",853587.233148531,0
"16","ASV5","KH02","KH09","surface_water",256952.073744236,0
"17","ASV5","KH02","KH09","100m_water",256952.073744236,0
"18","ASV5","KH02","NC01","bottom_water",1108898.5779568,0
"19","ASV5","KH03","KH09","surface_water",222683.198313936,0
"20","ASV5","KH03","KH09","100m_water",222683.198313936,0
"21","ASV5","KH03","NC01","bottom_water",1083222.10316354,0
"22","ASV5","KH07","KH09","surface_water",16273.2134929709,0
"23","ASV5","KH07","KH09","100m_water",16273.2134929709,0
"24","ASV5","KH07","NC01","bottom_water",914652.364133657,0
"25","ASV5","KH08","KH09","surface_water",12133.4695788702,0
"26","ASV5","KH08","KH09","100m_water",12133.4695788702,0
"27","ASV5","KH08","NC01","bottom_water",910640.837608471,0
"28","ASV5","KH10","KH09","surface_water",1028126.87833231,0
"29","ASV5","KH10","KH09","100m_water",1028126.87833231,0
"30","ASV5","KH10","NC01","bottom_water",240529.614661747,0
"31","ASV5","KV01","KH09","surface_water",503813.261049227,0
"32","ASV5","KV01","KH09","100m_water",503813.261049227,0
"33","ASV5","KV01","NC01","bottom_water",465843.66883053,0
"34","ASV5","NS01","KH09","surface_water",464798.186197596,0
"35","ASV5","NS01","KH09","100m_water",464798.186197596,0
"36","ASV5","NS01","NC01","bottom_water",1059972.47045464,0
"37","ASV5","NS02","KH09","surface_water",501531.271678259,0
"38","ASV5","NS02","KH09","100m_water",501531.271678259,0
"39","ASV5","NS02","NC01","bottom_water",1045600.88370292,0
"40","ASV5","NS04","KH09","surface_water",573432.487583635,0
"41","ASV5","NS04","KH09","100m_water",573432.487583635,0
"42","ASV5","NS04","NC01","bottom_water",1062080.58697917,0
"43","ASV5","NS06","KH09","surface_water",622884.258987527,0
"44","ASV5","NS06","KH09","100m_water",622884.258987527,0
"45","ASV5","NS06","NC01","bottom_water",1068371.3232193,0
"46","ASV5","NS10","KH09","surface_water",664821.603016246,0
"47","ASV5","NS10","KH09","100m_water",664821.603016246,0
"48","ASV5","NS10","NC01","bottom_water",1129754.57955922,0
"49","ASV5","NS12","KH09","surface_water",647651.562205665,0
"50","ASV5","NS12","KH09","100m_water",647651.562205665,0
"51","ASV5","NS12","NC01","bottom_water",1130224.20019479,0
"52","ASV5","NS38","KH09","surface_water",491910.459986912,0
"53","ASV5","NS38","KH09","100m_water",491910.459986912,0
"54","ASV5","NS38","NC01","bottom_water",1170861.99940576,0
"55","ASV5","NS43","KH09","surface_water",474415.56191831,0
"56","ASV5","NS43","KH09","100m_water",474415.56191831,0
"57","ASV5","NS43","NC01","bottom_water",1112035.10120924,0
"58","ASV5","NS45","KH09","surface_water",446416.512961551,0
"59","ASV5","NS45","KH09","100m_water",446416.512961551,0
"60","ASV5","NS45","NC01","bottom_water",1081900.31926245,0
"61","ASV5","NS47","KH09","surface_water",399811.396148737,0
"62","ASV5","NS47","KH09","100m_water",399811.396148737,0
"63","ASV5","NS47","NC01","bottom_water",1030952.26593743,0
"64","ASV7","HR04","IS01","100m_water",138211.55095619,0
"65","ASV7","HR04","IS01","bottom_water",138211.55095619,0
"66","ASV7","HR04","IS02","surface_water",123073.308719948,0
"67","ASV7","HR04","IS02","100m_water",123073.308719948,0
"68","ASV7","HR04","IS02","bottom_water",123073.308719948,0
"69","ASV7","HR04","KH03","surface_water",471861.531511506,0
"70","ASV7","HR04","KH03","100m_water",471861.531511506,0
"71","ASV7","HR04","KH03","bottom_water",471861.531511506,0
"72","ASV7","HR04","NS02","100m_water",356483.631791926,0
"73","ASV7","HR04","NS02","bottom_water",356483.631791926,0
"74","ASV7","HR07","IS01","100m_water",135632.147788776,0
"75","ASV7","HR07","IS01","bottom_water",135632.147788776,0
"76","ASV7","HR07","IS02","surface_water",123161.775715499,0
"77","ASV7","HR07","IS02","100m_water",123161.775715499,0
"78","ASV7","HR07","IS02","bottom_water",123161.775715499,0
"79","ASV7","HR07","KH03","surface_water",474097.389207637,0
"80","ASV7","HR07","KH03","100m_water",474097.389207637,0
"81","ASV7","HR07","KH03","bottom_water",474097.389207637,0
"82","ASV7","HR07","NS02","100m_water",351781.058880377,0
"83","ASV7","HR07","NS02","bottom_water",351781.058880377,0
"84","ASV7","KH01","IS01","100m_water",46094.1938443774,0
"85","ASV7","KH01","IS01","bottom_water",46094.1938443774,0
"86","ASV7","KH01","IS02","surface_water",48031.229720011,0
"87","ASV7","KH01","IS02","100m_water",48031.229720011,0
"88","ASV7","KH01","IS02","bottom_water",48031.229720011,0
"89","ASV7","KH01","KH03","surface_water",326618.35092933,0
"90","ASV7","KH01","KH03","100m_water",326618.35092933,0
"91","ASV7","KH01","KH03","bottom_water",326618.35092933,0
"92","ASV7","KH01","NS02","100m_water",228366.448947434,0
"93","ASV7","KH01","NS02","bottom_water",228366.448947434,0
"94","ASV7","KH02","IS01","100m_water",378221.640740594,0
"95","ASV7","KH02","IS01","bottom_water",378221.640740594,0
"96","ASV7","KH02","IS02","surface_water",366622.220343254,0
"97","ASV7","KH02","IS02","100m_water",366622.220343254,0
"98","ASV7","KH02","IS02","bottom_water",366622.220343254,0
"99","ASV7","KH02","KH03","surface_water",35015.2323087072,0
"100","ASV7","KH02","KH03","100m_water",35015.2323087072,0
"101","ASV7","KH02","KH03","bottom_water",35015.2323087072,0
"102","ASV7","KH02","NS02","100m_water",381310.656060416,0
"103","ASV7","KH02","NS02","bottom_water",381310.656060416,0
"104","ASV7","NS04","IS01","100m_water",272418.940791479,0
"105","ASV7","NS04","IS01","bottom_water",272418.940791479,0
"106","ASV7","NS04","IS02","surface_water",317962.039557245,0
"107","ASV7","NS04","IS02","100m_water",317962.039557245,0
"108","ASV7","NS04","IS02","bottom_water",317962.039557245,0
"109","ASV7","NS04","KH03","surface_water",471906.809390877,0
"110","ASV7","NS04","KH03","100m_water",471906.809390877,0
"111","ASV7","NS04","KH03","bottom_water",471906.809390877,0
"112","ASV7","NS04","NS02","100m_water",75954.0584045058,0
"113","ASV7","NS04","NS02","bottom_water",75954.0584045058,0
"114","ASV7","NS06","IS01","100m_water",305811.394101557,0
"115","ASV7","NS06","IS01","bottom_water",305811.394101557,0
"116","ASV7","NS06","IS02","surface_water",353018.42342524,0
"117","ASV7","NS06","IS02","100m_water",353018.42342524,0
"118","ASV7","NS06","IS02","bottom_water",353018.42342524,0
"119","ASV7","NS06","KH03","surface_water",526638.220782044,0
"120","ASV7","NS06","KH03","100m_water",526638.220782044,0
"121","ASV7","NS06","KH03","bottom_water",526638.220782044,0
"122","ASV7","NS06","NS02","100m_water",130440.57652179,0
"123","ASV7","NS06","NS02","bottom_water",130440.57652179,0
"124","ASV7","NS10","IS01","100m_water",362596.935390565,0
"125","ASV7","NS10","IS01","bottom_water",362596.935390565,0
"126","ASV7","NS10","IS02","surface_water",409049.26841239,0
"127","ASV7","NS10","IS02","100m_water",409049.26841239,0
"128","ASV7","NS10","IS02","bottom_water",409049.26841239,0
"129","ASV7","NS10","KH03","surface_water",551230.182308597,0
"130","ASV7","NS10","KH03","100m_water",551230.182308597,0
"131","ASV7","NS10","KH03","bottom_water",551230.182308597,0
"132","ASV7","NS10","NS02","100m_water",163511.947853067,0
"133","ASV7","NS10","NS02","bottom_water",163511.947853067,0
"134","ASV7","NS38","IS01","100m_water",340150.809890855,0
"135","ASV7","NS38","IS01","bottom_water",340150.809890855,0
"136","ASV7","NS38","IS02","surface_water",366907.296486779,0
"137","ASV7","NS38","IS02","100m_water",366907.296486779,0
"138","ASV7","NS38","IS02","bottom_water",366907.296486779,0
"139","ASV7","NS38","KH03","surface_water",321222.224126152,0
"140","ASV7","NS38","KH03","100m_water",321222.224126152,0
"141","ASV7","NS38","KH03","bottom_water",321222.224126152,0
"142","ASV7","NS38","NS02","100m_water",165134.977546814,0
"143","ASV7","NS38","NS02","bottom_water",165134.977546814,0
"144","ASV7","NS43","IS01","100m_water",281224.80940727,0
"145","ASV7","NS43","IS01","bottom_water",281224.80940727,0
"146","ASV7","NS43","IS02","surface_water",311739.658196287,0
"147","ASV7","NS43","IS02","100m_water",311739.658196287,0
"148","ASV7","NS43","IS02","bottom_water",311739.658196287,0
"149","ASV7","NS43","KH03","surface_water",329454.343544947,0
"150","ASV7","NS43","KH03","100m_water",329454.343544947,0
"151","ASV7","NS43","KH03","bottom_water",329454.343544947,0
"152","ASV7","NS43","NS02","100m_water",102588.932039656,0
"153","ASV7","NS43","NS02","bottom_water",102588.932039656,0
"154","ASV7","NS45","IS01","100m_water",250903.447668041,0
"155","ASV7","NS45","IS01","bottom_water",250903.447668041,0
