"","ASV","station_2","sample_type","station_1","d2s","threshold","region_1","region_2","abundance"
"1","ASV100","KH07","100m_water","NS01",467379.756354903,0,"North Svalbard","Greenland Ridge",1
"2","ASV100","KH07","100m_water","NS43",475026.816563709,0,"North Svalbard","Greenland Ridge",1
"3","ASV100","KH07","100m_water","HR07",417188.927660826,0,"West Svalbard","Greenland Ridge",1
"4","ASV100","KH07","100m_water","IS02",335502.577748031,0,"West Svalbard","Greenland Ridge",1
"5","ASV100","KH07","100m_water","HR04",411900.494447559,0,"West Svalbard","Greenland Ridge",1
"6","ASV100","KH07","100m_water","NS02",505392.328798534,0,"North Svalbard","Greenland Ridge",1
"7","ASV100","KH07","100m_water","NS47",402230.278913481,0,"North Svalbard","Greenland Ridge",1
"8","ASV100","KH07","100m_water","KH01",333981.40396105,0,"West Svalbard","Greenland Ridge",1
"9","ASV100","KH07","100m_water","NS38",490391.546565313,0,"North Svalbard","Greenland Ridge",1
"10","ASV100","KH07","100m_water","NS45",447633.831148953,0,"North Svalbard","Greenland Ridge",1
"11","ASV100","KH09","100m_water","HR07",403451.383333803,0,"West Svalbard","Greenland Ridge",1
"12","ASV100","KH09","100m_water","NS38",491910.459986912,0,"North Svalbard","Greenland Ridge",1
"13","ASV100","KH09","100m_water","NS01",464798.186197596,0,"North Svalbard","Greenland Ridge",1
"14","ASV100","KH09","100m_water","KH01",324730.507469159,0,"West Svalbard","Greenland Ridge",1
"15","ASV100","KH09","100m_water","NS43",474415.56191831,0,"North Svalbard","Greenland Ridge",1
"16","ASV100","KH09","100m_water","NS47",399811.396148737,0,"North Svalbard","Greenland Ridge",1
"17","ASV100","KH09","100m_water","IS02",324403.559975241,0,"West Svalbard","Greenland Ridge",1
"18","ASV100","KH09","100m_water","HR04",398047.40723639,0,"West Svalbard","Greenland Ridge",1
"19","ASV100","KH09","100m_water","NS02",501531.271678259,0,"North Svalbard","Greenland Ridge",1
"20","ASV100","KH09","100m_water","NS45",446416.512961551,0,"North Svalbard","Greenland Ridge",1
"21","ASV100","KH09","surface_water","NS02",501531.271678259,0,"North Svalbard","Greenland Ridge",2
"22","ASV100","KH09","surface_water","NS43",474415.56191831,0,"North Svalbard","Greenland Ridge",2
"23","ASV100","KH09","surface_water","KH01",324730.507469159,0,"West Svalbard","Greenland Ridge",2
"24","ASV100","KH09","surface_water","HR04",398047.40723639,0,"West Svalbard","Greenland Ridge",2
"25","ASV100","KH09","surface_water","HR07",403451.383333803,0,"West Svalbard","Greenland Ridge",2
"26","ASV100","KH09","surface_water","IS02",324403.559975241,0,"West Svalbard","Greenland Ridge",2
"27","ASV100","KH09","surface_water","NS38",491910.459986912,0,"North Svalbard","Greenland Ridge",2
"28","ASV100","KH09","surface_water","NS01",464798.186197596,0,"North Svalbard","Greenland Ridge",2
"29","ASV100","KH09","surface_water","NS47",399811.396148737,0,"North Svalbard","Greenland Ridge",2
"30","ASV100","KH09","surface_water","NS45",446416.512961551,0,"North Svalbard","Greenland Ridge",2
"31","ASV100","KH10","bottom_water","NS43",1144452.23705602,0,"North Svalbard","North Norway",40817
"32","ASV100","KH10","bottom_water","NS38",1207836.52525493,10,"North Svalbard","North Norway",40817
"33","ASV100","KH10","bottom_water","NS43",1144452.23705602,100,"North Svalbard","North Norway",40817
"34","ASV100","KH10","bottom_water","NS01",1088175.07493381,100,"North Svalbard","North Norway",40817
"35","ASV100","KH10","bottom_water","NS01",1088175.07493381,10,"North Svalbard","North Norway",40817
"36","ASV100","KH10","bottom_water","HR04",738887.938484313,100,"West Svalbard","North Norway",40817
"37","ASV100","KH10","bottom_water","NS02",1062502.54750933,10,"North Svalbard","North Norway",40817
"38","ASV100","KH10","bottom_water","HR07",740048.572830984,0,"West Svalbard","North Norway",40817
"39","ASV100","KH10","bottom_water","NS47",1072943.95552461,10,"North Svalbard","North Norway",40817
"40","ASV100","KH10","bottom_water","HR04",738887.938484313,0,"West Svalbard","North Norway",40817
"41","ASV100","KH10","bottom_water","IS02",861096.211268488,10,"West Svalbard","North Norway",40817
"42","ASV100","KH10","bottom_water","NS02",1062502.54750933,0,"North Svalbard","North Norway",40817
"43","ASV100","KH10","bottom_water","NS47",1072943.95552461,1000,"North Svalbard","North Norway",40817
"44","ASV100","KH10","bottom_water","KH01",906816.806696072,100,"West Svalbard","North Norway",40817
"45","ASV100","KH10","bottom_water","KH01",906816.806696072,0,"West Svalbard","North Norway",40817
"46","ASV100","KH10","bottom_water","HR04",738887.938484313,10,"West Svalbard","North Norway",40817
"47","ASV100","KH10","bottom_water","NS01",1088175.07493381,0,"North Svalbard","North Norway",40817
"48","ASV100","KH10","bottom_water","NS38",1207836.52525493,0,"North Svalbard","North Norway",40817
"49","ASV100","KH10","bottom_water","IS02",861096.211268488,1000,"West Svalbard","North Norway",40817
"50","ASV100","KH10","bottom_water","NS45",1117663.57353705,100,"North Svalbard","North Norway",40817
"51","ASV100","KH10","bottom_water","KH01",906816.806696072,10,"West Svalbard","North Norway",40817
"52","ASV100","KH10","bottom_water","IS02",861096.211268488,0,"West Svalbard","North Norway",40817
"53","ASV100","KH10","bottom_water","NS45",1117663.57353705,10,"North Svalbard","North Norway",40817
"54","ASV100","KH10","bottom_water","NS45",1117663.57353705,0,"North Svalbard","North Norway",40817
"55","ASV100","KH10","bottom_water","NS02",1062502.54750933,100,"North Svalbard","North Norway",40817
