"","ASV","min_d2s","max_d2s","mean_d2s","median_d2s","group","taxon1","taxon2","taxon3","taxon4","taxon5","mean_similarity"
"1","ASV100",738887.938484313,1144452.23705602,1009061.63337028,1072943.95552461,"benthic","Globothalamea","Rotaliida","Stainforthiidae","Stainforthia","Stainforthia_sp",0.923
"2","ASV1003",7636.3439032831,407907.079623575,267363.472341223,386546.993496812,"unassigned","unassigned","unassigned","","","",NA
"3","ASV1005",273493.092239242,667852.027674485,468764.930327792,466857.300698721,"benthic","Globothalamea","Textulariida","Lituolidae","Ammobaculites","Ammobaculites_rostratus",0.969
"4","ASV1013",65274.0726219047,321222.224126152,193248.148374028,193248.148374028,"unassigned","unassigned","unassigned","","","",NA
"5","ASV102",340339.586785523,340339.586785523,340339.586785523,340339.586785523,"unassigned","unassigned","unassigned","","","",NA
"6","ASV103",21916.4905658516,463376.907440582,181951.465222412,146976.262187428,"benthic","Monothalamea","CladeG","CladeG_X","CladeG_XX","CladeG_XX_sp",0.944
"7","ASV1031",311641.670255125,1083222.10316354,697431.88670933,697431.88670933,"unassigned","unassigned","unassigned","","","",NA
"8","ASV1044",240529.614661747,240529.614661747,240529.614661747,240529.614661747,"unassigned","unassigned","unassigned","","","",NA
"9","ASV105",54915.0953724897,468927.314364479,199993.625009015,187501.505610509,"benthic","Monothalamea","CladeC","CladeC_X","CladeC_XX","CladeC_XX_sp",1
"10","ASV1053",32589.4941201043,447633.831148953,190156.698440129,90246.7700513288,"benthic","Monothalamea","CladeG","CladeG_X","CladeG_XX","CladeG_XX_sp",0.926
"11","ASV1062",207072.595916623,270936.236778257,239004.41634744,239004.41634744,"benthic","Monothalamea","CladeG","CladeG_X","CladeG_XX","CladeG_XX_sp",0.938
"12","ASV1065",292954.052059369,511507.172237985,402230.612148677,402230.612148677,"benthic","Monothalamea","CladeC","CladeC_X","Toxisarcon","Toxisarcon_sp",0.922
"13","ASV107",32589.4941201043,468927.314364479,276687.019456521,262910.706997931,"benthic","Monothalamea","CladeB","CladeB_X","CladeB_XX","CladeB_XX_sp",1
"14","ASV1073",42960.6290146066,55726.3734476538,49343.5012311302,49343.5012311302,"benthic","Monothalamea","CladeB","CladeB_X","CladeB_XX","CladeB_XX_sp",0.973
"15","ASV1077",48021.198533344,353018.42342524,205748.468087607,196207.919144931,"benthic","Globothalamea","Textulariida","Trochamminidae","Tritaxis","Tritaxis_conica",0.912
"16","ASV108",21916.4905658516,352745.383890105,171846.518879399,184683.154633836,"benthic","Monothalamea","CladeD","Hippocrepinellidae","Hippocrepinella","Hippocrepinella_sp",0.984
"17","ASV1088",65274.0726219047,319038.01372169,153684.099801473,115212.156431148,"benthic","Monothalamea","Monothalamea_X","Monothalamea_XX","Monothalamea_XXX","Monothalamea_XXX_sp",0.954
"18","ASV109",75954.0584045058,386546.993496812,221499.540343056,198150.197497667,"benthic","Globothalamea","Rotaliida","Globobuliminidae","Globobulimina","Globobulimina_auriculata",0.993
"19","ASV1092",340339.586785523,340339.586785523,340339.586785523,340339.586785523,"unassigned","unassigned","unassigned","","","",NA
"20","ASV1093",135632.147788776,478274.35254863,302957.704675862,285344.462332052,"benthic","Monothalamea","CladeG","CladeG_X","CladeG_XX","CladeG_XX_sp",0.958
"21","ASV1094",363522.444844654,363522.444844654,363522.444844654,363522.444844654,"unassigned","unassigned","unassigned","","","",NA
"22","ASV1096",240529.614661747,906816.806696072,573673.21067891,573673.21067891,"benthic","Monothalamea","CladeA","CladeA_X","CladeA_XX","CladeA_XX_sp",0.927
"23","ASV11",35015.2323087072,1203929.98409536,460353.412879608,379766.148400505,"benthic","Globothalamea","Rotaliida","Stainforthiidae","Stainforthia","Stainforthia_sp",1
"24","ASV110",1045600.88370292,1062502.54750933,1054051.71560613,1054051.71560613,"benthic","Globothalamea","Rotaliida","Cibicididae","Cibicidoides","Cibicidoides_lobatulus",1
"25","ASV1108",272418.940791479,305811.394101557,289115.167446518,289115.167446518,"benthic","Monothalamea","ENFOR2","ENFOR2_X","ENFOR2_XX","ENFOR2_XX_sp",0.926
"26","ASV112",21916.4905658516,163511.947853067,99419.8042112305,93358.9219093912,"benthic","Globothalamea","Rotaliida","Notorotaliidae","Buccella","Buccella_sp",0.912
"27","ASV1140",213283.615331059,222683.198313936,217198.549669352,215628.835363062,"unassigned","unassigned","unassigned","","","",NA
"28","ASV1142",65274.0726219047,1207836.52525493,476299.650168679,316044.00139894,"unassigned","unassigned","unassigned","","","",NA
"29","ASV1144",280091.157503738,340339.586785523,310215.37214463,310215.37214463,"unassigned","unassigned","unassigned","","","",NA
"30","ASV115",21916.4905658516,1203929.98409536,413715.138141423,336632.253907621,"benthic","Monothalamea","CladeG","CladeG_X","CladeG_XX","CladeG_XX_sp",0.916
"31","ASV1150",1030952.26593743,1030952.26593743,1030952.26593743,1030952.26593743,"unassigned","unassigned","unassigned","","","",NA
"32","ASV1153",21916.4905658516,163511.947853067,85180.8322722755,77647.4453350919,"unassigned","unassigned","unassigned","","","",NA
"33","ASV116",7636.3439032831,697027.596674895,275941.905431226,123161.775715499,"unassigned","unassigned","unassigned","","","",NA
"34","ASV1164",280091.157503738,1170861.99940576,703491.336349774,660593.622719956,"benthic","Monothalamea","ENFOR","ENFOR_X","ENFOR_XX","ENFOR_XX_sp",0.932
"35","ASV1165",65274.0726219047,65274.0726219047,65274.0726219047,65274.0726219047,"unassigned","unassigned","unassigned","","","",NA
"36","ASV1167",340339.586785523,340339.586785523,340339.586785523,340339.586785523,"benthic","Monothalamea","CladeCON","CladeCON_X","Conqueria","Conqueria_bolivari",0.993
"37","ASV1169",32589.4941201043,96250.2797497349,60138.9661671517,55858.0453993838,"unassigned","unassigned","unassigned","","","",NA
"38","ASV117",305811.394101557,407907.079623575,369988.118604543,401554.379732724,"unassigned","unassigned","unassigned","","","",NA
"39","ASV1173",340339.586785523,388228.836803037,364284.21179428,364284.21179428,"unassigned","unassigned","unassigned","","","",NA
"40","ASV1175",35015.2323087072,222683.198313936,128849.215311321,128849.215311321,"benthic","Monothalamea","CladeC","CladeC_X","Pilulina","Pilulina_argentea",0.917
