"","ASV","surface_water","100m_water","bottom_water","sediment"
"27","ASV28",0,0,255,263302
"72","ASV77",0,0,100,104469
"76","ASV81",0,0,190,110355
"91","ASV98",0,0,34221,38529
"122","ASV131",0,0,5,41255
"136","ASV146",0,0,20,39955
"141","ASV151",0,0,944,37447
"146","ASV157",0,0,129,32576
"157","ASV168",0,0,412,32484
"165","ASV177",0,0,45,26742
"170","ASV182",0,0,478,26525
"176","ASV190",0,0,134,22676
"182","ASV197",0,0,5,21721
"194","ASV210",0,0,18,20747
"196","ASV212",0,0,52,19692
"201","ASV217",0,0,1050,18045
"211","ASV229",0,0,36,17775
"213","ASV231",0,0,128,17393
"224","ASV244",0,0,4,18369
"235","ASV255",0,0,866,14540
"244","ASV264",0,0,5,16675
"253","ASV273",0,0,5,14090
"256","ASV276",0,0,475,13455
"266","ASV287",0,0,6,13107
"271","ASV293",0,0,407,12340
"276","ASV299",0,0,57,12276
"277","ASV300",0,0,16,12631
"283","ASV306",0,0,323,11591
"284","ASV307",0,0,148,11774
"291","ASV315",0,0,15335,480
"295","ASV319",0,0,1,11480
"296","ASV320",0,0,140,11178
"298","ASV322",0,0,30,10671
"301","ASV325",0,0,57,10596
"308","ASV332",0,0,4188,6659
"311","ASV335",0,0,903,9197
"314","ASV338",0,0,36,10137
"316","ASV340",0,0,13,10530
"329","ASV354",0,0,2,11081
"331","ASV356",0,0,40,9626
"340","ASV365",0,0,221,8874
"348","ASV378",0,0,7,8356
"352","ASV383",0,0,1581,6645
"354","ASV385",0,0,137,9873
"355","ASV386",0,0,810,8221
"360","ASV391",0,0,8,8444
"365","ASV397",0,0,2933,4887
"368","ASV401",0,0,7,9995
"370","ASV403",0,0,176,7502
"376","ASV409",0,0,2329,5271
"380","ASV413",0,0,16,7383
"393","ASV426",0,0,2,7104
"394","ASV427",0,0,1,7186
"395","ASV428",0,0,7,7139
"401","ASV434",0,0,2,7032
"418","ASV454",0,0,9,6491
"421","ASV457",0,0,35,6492
"423","ASV459",0,0,36,6571
"425","ASV462",0,0,967,5610
"441","ASV478",0,0,8,6323
"442","ASV479",0,0,1,6057
"448","ASV485",0,0,3655,2372
"449","ASV486",0,0,252,5739
"451","ASV488",0,0,46,5910
"455","ASV494",0,0,38,5748
"457","ASV496",0,0,10,6463
"458","ASV497",0,0,1057,4669
"469","ASV511",0,0,742,4833
"470","ASV512",0,0,183,5354
"473","ASV515",0,0,99,5432
"477","ASV519",0,0,769,4645
"478","ASV520",0,0,14,5428
"486","ASV528",0,0,680,4533
"490","ASV532",0,0,2,5174
"504","ASV548",0,0,248,4718
"505","ASV549",0,0,78,4886
"512","ASV557",0,0,9,4812
"520","ASV565",0,0,2732,2039
"523","ASV569",0,0,1859,2851
"532","ASV580",0,0,2350,2242
"534","ASV584",0,0,1,4503
"535","ASV585",0,0,12,4601
"545","ASV598",0,0,212,4096
"547","ASV600",0,0,2,4326
"550","ASV603",0,0,7,4253
"580","ASV643",0,0,10,3804
"588","ASV653",0,0,2211,1518
"600","ASV665",0,0,61,3572
"602","ASV668",0,0,3,3874
"606","ASV672",0,0,2231,1375
"610","ASV676",0,0,472,3207
"621","ASV687",0,0,6,3728
"622","ASV688",0,0,341,3045
"629","ASV697",0,0,2,3473
"633","ASV702",0,0,10,3293
"634","ASV703",0,0,1,3290
"637","ASV706",0,0,15,3237
"640","ASV709",0,0,2,3227
"641","ASV710",0,0,422,2801
"642","ASV711",0,0,482,2725
"646","ASV716",0,0,829,2355
"647","ASV717",0,0,2364,819
"648","ASV719",0,0,12,3146
"657","ASV731",0,0,1151,1917
"660","ASV734",0,0,11,2972
"663","ASV737",0,0,49,2972
"669","ASV745",0,0,68,2918
"678","ASV756",0,0,161,2754
"685","ASV765",0,0,5468,829
"686","ASV766",0,0,900,1959
"687","ASV768",0,0,320,2759
"688","ASV769",0,0,2834,12
"690","ASV771",0,0,2766,72
"696","ASV780",0,0,113,2663
"697","ASV781",0,0,10,2765
"702","ASV787",0,0,203,2557
"705","ASV790",0,0,27,2685
"708","ASV794",0,0,2369,326
"710","ASV796",0,0,3,2760
"720","ASV810",0,0,189,2467
"721","ASV811",0,0,29,3283
"722","ASV812",0,0,1091,1634
"728","ASV819",0,0,10,2597
"729","ASV821",0,0,53,2546
"731","ASV823",0,0,88,2543
"733","ASV826",0,0,7,3063
"735","ASV828",0,0,1,2925
"737","ASV830",0,0,2,2560
"743","ASV837",0,0,1037,1497
"745","ASV840",0,0,319,2199
"748","ASV843",0,0,24,2477
"749","ASV845",0,0,146,2351
"750","ASV846",0,0,1275,1217
"753","ASV849",0,0,105,2369
"766","ASV862",0,0,68,2357
"767","ASV864",0,0,3,2418
"770","ASV868",0,0,2985,367
"772","ASV870",0,0,1,2708
"773","ASV871",0,0,2364,28
"776","ASV875",0,0,12,2359
"777","ASV876",0,0,203,2166
"782","ASV882",0,0,2,2350
"785","ASV886",0,0,29,2307
"787","ASV888",0,0,129,2866
"789","ASV891",0,0,4,2592
"790","ASV892",0,0,335,2420
"791","ASV893",0,0,1872,432
"803","ASV906",0,0,1140,1123
"804","ASV907",0,0,2107,118
"808","ASV913",0,0,8,2227
"815","ASV922",0,0,22,2162
"816","ASV923",0,0,8,2206
"820","ASV930",0,0,389,1763
