merged_taxon,HR04_01,HR04_02,HR04_03,HR04_04,HR07_01,HR07_02,HR07_03,HR07_04,IS01_01,IS01_02,IS01_03,IS01_04,IS02_01,IS02_02,IS02_03,IS02_04,KH01_01,KH01_02,KH01_03,KH01_04,KH02_01,KH02_02,KH02_03,KH02_04,KH03_01,KH03_02,KH03_03,KH03_04,KH05_01,KH05_02,KH05_03,KH07_01,KH07_02,KH07_04,KH08_04,KH09_01,KH09_02,KH09_03,KH09_04,KH10_01,KH10_02,KH10_03,KH10_04,KV01_01,KV01_02,KV01_03,KV01_04,NC01_01,NC01_02,NC01_03,NC01_04,NS01_01,NS01_02,NS01_03,NS01_04,NS02_02,NS02_03,NS02_04,NS04_01,NS04_02,NS04_03,NS04_04,NS06_01,NS06_02,NS06_03,NS06_04,NS10_01,NS10_02,NS10_03,NS10_04,NS12_01,NS12_02,NS12_03,NS12_04,NS38_01,NS38_02,NS38_03,NS38_04,NS43_01,NS43_02,NS43_03,NS43_04,NS45_01,NS45_02,NS45_03,NS45_04,NS47_04
Globothalamea;Bolivinellina_pseudopunctata,0,0,0,790,0,0,0,110,0,0,0,530,0,0,0,0,0,0,0,20,0,0,0,1,0,0,0,5,0,0,0,0,0,3,1,0,0,0,1,0,0,0,1,0,0,0,43,0,0,0,2,0,0,0,0,0,0,906,0,0,0,192,0,0,0,935,0,0,0,10,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,4,9
Globothalamea;Cassidulina_sp,0,0,0,22,0,0,0,2,1,0,0,4,0,0,0,0,1,0,2859,15,3,0,0,0,0,0,0,2,16,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,28,0,0,7,0,0,0,1,0,0,0,9,0,0,0,21,0,0,0,10,0,0,46,48,0,0,79,2,0,0,105,16,13
Globothalamea;Cibicides_fletcheri,562,9384,786,289,0,2120,2001,41,0,2380,74,0,6,22,409,54,2373,0,0,1973,549,53,0,0,22,11,15,0,12179,1,0,14,0,0,0,0,0,0,0,0,0,0,7,1708,0,833,0,19,14,9,0,0,0,0,0,0,0,82,0,0,0,11,0,0,0,119,0,0,0,376,0,0,0,1392,0,0,0,12,5,0,0,0,0,0,0,0,150
Globothalamea;Cibicidoides_lobatulus,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9626,197,165,94,0,0,8,9,1137,13,0,84,31,0,0,0,30,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,832,27,0,0,88,0,0
Globothalamea;Cibicidoides_sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,82,0,0,0,0,0,1076,26,0,0,0,20,0,0,0,36,0,0,0,0,0,0,0,1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,5,0,0,126,0,0
Globothalamea;Cribrostomoides_crassimargo,11847,401,77,7,8610,144,169,3,0,2606,30,0,0,9639,29,0,25,0,119,17,1,2,0,2,15,2,0,0,267,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,55,0,5,11,0,2,1143,45110,399,0,0,0,22,0,14,34,19,0,0,0,0,0,0,244,8,0,0,259,0,5,5,56,4,1
Globothalamea;Cribrostomoides_sp,89,92,12,0,120,47,55,3,0,45,5,0,0,378,464,3,0,0,1,13,1,0,30,0,0,0,1,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,8,0,9,1217,0,0,0,0,26,0,0,0,0,0,0,0,0,0,64,17,0,0,0,0,0,0,0,8,0,0,0,2,0,0,32,0,0,0,58,0,0,0,113,0,0
Globothalamea;Eggerella_sp,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1318,370,0,0,0,2,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Globothalamea;Elphidium_excavatum,0,10,4,398,0,0,0,60,0,2,700,244,0,0,1,148,0,0,0,7,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,26,0,0,1,1,0,0,370,112,0,0,9,0,0,20,26,0,150,622,8,0,19,43,102,0,1,2,124,0,1,166,19,0,0,157,6,0,0,290,9,9
Globothalamea;Epistominella_sp,0,0,0,462,0,0,0,91,0,0,0,454,0,0,0,2,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,25,11,0,0,0,0,20,0,0,0,6,2,0,0,3,1,0,539,0,0,0,135,0,0,0,96,0,0,0,49,0,0,0,270,0,0,0,7,0,0,0,1,0,0,0,3,0
