"","ASV","station_2","sample_type","station_1","d2s","threshold","region_1","region_2","abundance"
"1","ASV100","KV01","100m_water","HR04",228500.596020837,10,"West Svalbard","West Svalbard",17
"2","ASV100","KV01","100m_water","HR04",228500.596020837,0,"West Svalbard","West Svalbard",17
"3","ASV100","KV01","bottom_water","HR04",228500.596020837,0,"West Svalbard","West Svalbard",86
"4","ASV100","KV01","bottom_water","HR04",228500.596020837,10,"West Svalbard","West Svalbard",86
"5","ASV1002","KH10","bottom_water","KV01",536307.788412428,10,"West Svalbard","North Norway",59
"6","ASV1002","KH10","bottom_water","KV01",536307.788412428,0,"West Svalbard","North Norway",59
"7","ASV1003","HR04","100m_water","HR07",7636.3439032831,100,"West Svalbard","West Svalbard",169
"8","ASV1003","HR04","bottom_water","HR07",7636.3439032831,100,"West Svalbard","West Svalbard",101
"9","ASV1005","KH02","bottom_water","NS47",273493.092239242,100,"North Svalbard","NE Greenland",242
"10","ASV1011","NS02","100m_water","NS01",53889.687538777,0,"North Svalbard","North Svalbard",1600
"11","ASV1013","NS38","bottom_water","NS43",65274.0726219047,0,"North Svalbard","North Svalbard",711
"12","ASV1013","NS38","bottom_water","NS43",65274.0726219047,10,"North Svalbard","North Svalbard",711
"13","ASV1013","NS38","bottom_water","NS43",65274.0726219047,100,"North Svalbard","North Svalbard",711
"14","ASV1019","IS02","bottom_water","KV01",340339.586785523,0,"West Svalbard","West Svalbard",3
"15","ASV102","IS02","bottom_water","KV01",340339.586785523,10000,"West Svalbard","West Svalbard",12526
"16","ASV1020","IS02","bottom_water","IS01",48021.198533344,0,"West Svalbard","West Svalbard",1
"17","ASV103","NS12","bottom_water","NS10",21916.4905658516,10,"North Svalbard","North Svalbard",3250
"18","ASV103","NS12","bottom_water","NS10",21916.4905658516,0,"North Svalbard","North Svalbard",3250
"19","ASV103","NS12","bottom_water","NS10",21916.4905658516,100,"North Svalbard","North Svalbard",3250
"20","ASV103","NS12","bottom_water","NS10",21916.4905658516,1000,"North Svalbard","North Svalbard",3250
"21","ASV1031","NS45","bottom_water","KH03",311641.670255125,10,"NE Greenland","North Svalbard",336
"22","ASV1031","NS45","bottom_water","KH03",311641.670255125,0,"NE Greenland","North Svalbard",336
"23","ASV1031","NS45","bottom_water","KH03",311641.670255125,100,"NE Greenland","North Svalbard",336
"24","ASV1036","NS45","bottom_water","NS43",32589.4941201043,10,"North Svalbard","North Svalbard",403
"25","ASV1036","NS45","bottom_water","NS43",32589.4941201043,0,"North Svalbard","North Svalbard",403
"26","ASV1037","IS01","100m_water","NS06",305811.394101557,10,"North Svalbard","West Svalbard",54
"27","ASV1037","IS01","100m_water","NS06",305811.394101557,0,"North Svalbard","West Svalbard",54
"28","ASV1039","KH01","surface_water","NS47",178987.128858961,0,"North Svalbard","West Svalbard",8
"29","ASV1044","KH10","bottom_water","NC01",240529.614661747,100,"North Norway","North Norway",1693
"30","ASV1044","KH10","bottom_water","NC01",240529.614661747,0,"North Norway","North Norway",1693
"31","ASV1044","KH10","bottom_water","NC01",240529.614661747,10,"North Norway","North Norway",1693
"32","ASV1045","IS01","100m_water","HR04",138211.55095619,0,"West Svalbard","West Svalbard",7
"33","ASV105","KH09","100m_water","KH08",12133.4695788702,0,"Greenland Ridge","Greenland Ridge",83
"34","ASV1053","NS45","bottom_water","NS43",32589.4941201043,100,"North Svalbard","North Svalbard",231
"35","ASV1053","NS45","bottom_water","NS43",32589.4941201043,10,"North Svalbard","North Svalbard",231
"36","ASV1053","NS45","bottom_water","NS43",32589.4941201043,0,"North Svalbard","North Svalbard",231
"37","ASV1058","NS45","bottom_water","NS43",32589.4941201043,10,"North Svalbard","North Svalbard",157
"38","ASV1058","NS45","bottom_water","NS43",32589.4941201043,0,"North Svalbard","North Svalbard",157
"39","ASV1060","KH02","100m_water","KH01",333113.697924388,0,"West Svalbard","NE Greenland",1
"40","ASV1062","NS10","bottom_water","NS01",207072.595916623,0,"North Svalbard","North Svalbard",115
"41","ASV1062","NS10","bottom_water","NS01",207072.595916623,10,"North Svalbard","North Svalbard",115
"42","ASV1062","NS10","bottom_water","NS01",207072.595916623,100,"North Svalbard","North Svalbard",115
"43","ASV1065","KH02","100m_water","NS45",292954.052059369,100,"North Svalbard","NE Greenland",401
"44","ASV1065","KH02","100m_water","NS45",292954.052059369,10,"North Svalbard","NE Greenland",401
"45","ASV1065","KH02","100m_water","NS45",292954.052059369,0,"North Svalbard","NE Greenland",401
"46","ASV1065","KH02","bottom_water","NS45",292954.052059369,0,"North Svalbard","NE Greenland",2
"47","ASV1066","NC01","bottom_water","KH10",240529.614661747,0,"North Norway","North Norway",5
"48","ASV1067","NC01","bottom_water","KH10",240529.614661747,0,"North Norway","North Norway",20
"49","ASV1067","NC01","bottom_water","KH10",240529.614661747,10,"North Norway","North Norway",20
"50","ASV107","HR07","100m_water","HR04",7636.3439032831,0,"West Svalbard","West Svalbard",39
"51","ASV107","HR07","bottom_water","HR04",7636.3439032831,0,"West Svalbard","West Svalbard",58
"52","ASV107","HR07","surface_water","HR04",7636.3439032831,0,"West Svalbard","West Svalbard",203
"53","ASV1073","NS45","bottom_water","NS01",42960.6290146066,100,"North Svalbard","North Svalbard",322
"54","ASV1076","NS45","bottom_water","NS43",32589.4941201043,0,"North Svalbard","North Svalbard",112
"55","ASV1076","NS45","bottom_water","NS43",32589.4941201043,10,"North Svalbard","North Svalbard",112
"56","ASV1077","IS02","surface_water","IS01",48021.198533344,100,"West Svalbard","West Svalbard",111
"57","ASV1079","KH01","surface_water","HR04",167933.946047899,10,"West Svalbard","West Svalbard",43
"58","ASV108","NS10","100m_water","NS12",21916.4905658516,100,"North Svalbard","North Svalbard",888
"59","ASV108","NS10","bottom_water","NS12",21916.4905658516,100,"North Svalbard","North Svalbard",498
"60","ASV1088","NS38","bottom_water","NS43",65274.0726219047,100,"North Svalbard","North Svalbard",288
"61","ASV1088","NS38","bottom_water","NS43",65274.0726219047,10,"North Svalbard","North Svalbard",288
"62","ASV109","IS01","bottom_water","KH01",46094.1938443774,0,"West Svalbard","West Svalbard",66
"63","ASV109","IS01","bottom_water","KH01",46094.1938443774,10,"West Svalbard","West Svalbard",66
"64","ASV1092","KV01","bottom_water","IS02",340339.586785523,100,"West Svalbard","West Svalbard",120
"65","ASV1093","IS01","100m_water","HR07",135632.147788776,10,"West Svalbard","West Svalbard",295
"66","ASV1093","IS01","100m_water","HR07",135632.147788776,100,"West Svalbard","West Svalbard",295
"67","ASV1093","IS01","bottom_water","HR07",135632.147788776,10,"West Svalbard","West Svalbard",20
