name,sample_type,sample_type2,location,cruise,station,time,lat,long,distance,sed_depth,water_depth,salinity,temperature,turbidity,density,fluorescence,oxygen
HR04_01,surface_water,surface_water,West Svalbard,OCE-21,HR04,August,76.8951,14.6898333,18801.94,146,5,33.94,4.256,0.51,26.94,,
HR04_02,100m_water,100m_water,West Svalbard,OCE-21,HR04,August,76.8951,14.6898333,18801.94,146,100,35.29,2.748,0.26,28.608,,
HR04_03,bottom_water,bottom_water,West Svalbard,OCE-21,HR04,August,76.8951,14.6898333,18801.94,146,130,35.44,2.806,0.37,28.865,,
HR04_04,sediment,sediment,West Svalbard,OCE-21,HR04,August,76.8951,14.6898333,18801.94,146,146,35.36,2.86,12.49,28.874,,
HR07_01,surface_water,surface_water,West Svalbard,OCE-21,HR07,August,76.94335,14.9052833,11177.33,125,5,33.98,4.343,0.49,26.963,,
HR07_02,100m_water,100m_water,West Svalbard,OCE-21,HR07,August,76.94335,14.9052833,11177.33,125,100,35.17,2.746,0.42,28.516,,
HR07_03,bottom_water,bottom_water,West Svalbard,OCE-21,HR07,August,76.94335,14.9052833,11177.33,125,110,35.18,2.745,0.39,28.568,,
HR07_04,sediment,sediment,West Svalbard,OCE-21,HR07,August,76.94335,14.9052833,11177.33,125,125,35.2,2.764,0.72,28.653,,
IS01_01,surface_water,surface_water,West Svalbard,OCE-21,IS01,August,78.0230333,12.2974667,25407.36,260,5,31.4,5.916,0.12,24.742,,
IS01_02,100m_water,100m_water,West Svalbard,OCE-21,IS01,August,78.0230333,12.2974667,25407.36,260,100,34.91,1.899,0.16,28.381,,
IS01_03,bottom_water,bottom_water,West Svalbard,OCE-21,IS01,August,78.0230333,12.2974667,25407.36,260,255,35.26,1.75,0.63,29.401,,
IS01_04,sediment,sediment,West Svalbard,OCE-21,IS01,August,78.0230333,12.2974667,25407.36,260,260,35.12,1.733,0.79,29.341,,
IS02_01,surface_water,surface_water,West Svalbard,OCE-21,IS02,August,77.6712833,11.1111,62355.84,293,5,34.33,6.28,0.07,27.012,,
IS02_02,100m_water,100m_water,West Svalbard,OCE-21,IS02,August,77.6712833,11.1111,62355.84,293,100,35.37,3.879,0.05,28.563,,
IS02_03,bottom_water,bottom_water,West Svalbard,OCE-21,IS02,August,77.6712833,11.1111,62355.84,293,275,35.51,3.477,0.09,29.527,,
IS02_04,sediment,sediment,West Svalbard,OCE-21,IS02,August,77.6712833,11.1111,62355.84,293,293,35.51,3.435,0.11,29.606,,
KH01_01,surface_water,surface_water,West Svalbard,CAGE20-8,KH01,November,78.06861,10.31042,62325.96,219,5,30.8423,2.4623,,,1.7172,6.7988
KH01_02,100m_water,100m_water,West Svalbard,CAGE20-8,KH01,November,78.06861,10.31042,62325.96,219,100,34.9059,5.4108,,,1.5729,6.8034
KH01_03,bottom_water,bottom_water,West Svalbard,CAGE20-8,KH01,November,78.06861,10.31042,62325.96,219,204,34.9968,4.7903,,,1.7467,6.6251
KH01_04,sediment,sediment,West Svalbard,CAGE20-8,KH01,November,78.06861,10.31042,62325.96,219,219,,,,,,
KH02_01,surface_water,surface_water,NE Greenland,CAGE20-8,KH02,November,78.63697,-4.284228,330295.07,1495,5,32.6262,-1.7846,,,2.7352,8.5415
KH02_02,100m_water,100m_water,NE Greenland,CAGE20-8,KH02,November,78.63697,-4.284228,330295.07,1495,100,34.1112,-1.3247,,,2.5002,7.5478
KH02_03,bottom_water,bottom_water,NE Greenland,CAGE20-8,KH02,November,78.63697,-4.284228,330295.07,1495,1480,34.9143,-0.3323,,,2.0745,6.8238
KH02_04,sediment,sediment,NE Greenland,CAGE20-8,KH02,November,78.63697,-4.284228,330295.07,1495,1495,34.9143,-0.3378,,,2.0733,6.8203
KH03_01,surface_water,surface_water,NE Greenland,CAGE20-8,KH03,November,78.32703,-4.015574,339666.95,1933,5,32.8446,-1.7999,,,2.2714,8.6811
KH03_02,100m_water,100m_water,NE Greenland,CAGE20-8,KH03,November,78.32703,-4.015574,339666.95,1933,100,34.4617,1.4839,,,1.7473,7.4248
KH03_03,bottom_water,bottom_water,NE Greenland,CAGE20-8,KH03,November,78.32703,-4.015574,339666.95,1933,1918,34.9217,-0.6333,,,2.0182,6.8076
KH03_04,sediment,sediment,NE Greenland,CAGE20-8,KH03,November,78.32703,-4.015574,339666.95,1933,1933,34.9219,-0.6691,,,1.9618,6.8007
KH04_ICE1,surface_water,surface_water,NE Greenland,CAGE20-8,KH04,November,77.518,-4.0437,347237.78,,0,,,,,,
KH04_ICE2,surface_water,surface_water,NE Greenland,CAGE20-8,KH04,November,77.518,-4.0437,347237.78,,0,,,,,,
KH05_01,surface_water,surface_water,NE Greenland,CAGE20-8,KH05,November,77.68080647,-5.439257983,312047.08,426,5,31.7037,-1.7159,,,2.4899,9.0726
KH05_02,100m_water,100m_water,NE Greenland,CAGE20-8,KH05,November,77.68080647,-5.439257983,312047.08,426,100,33.8322,-0.844,,,2.2002,7.9921
KH05_03,bottom_water,bottom_water,NE Greenland,CAGE20-8,KH05,November,77.68080647,-5.439257983,312047.08,426,426,34.8625,0.5049,,,1.9043,6.9684
KH07_01,surface_water,surface_water,Greenland Ridge,CAGE20-8,KH07,November,76.50064,-1.35151,392130.34,3056,5,34.7065,1.3338,,,1.4364,7.6359
KH07_02,100m_water,100m_water,Greenland Ridge,CAGE20-8,KH07,November,76.50064,-1.35151,392130.34,3056,100,34.9472,2.7882,,,1.4969,7.2707
