"","ASV_id","merged_taxon","total_read","group","taxon1","taxon2","taxon3","taxon4","taxon5","mean_similarity","HR04_01","HR04_02","HR04_03","HR04_04","HR07_01","HR07_02","HR07_03","HR07_04","IS01_01","IS01_02","IS01_03","IS01_04","IS02_01","IS02_02","IS02_03","IS02_04","KH01_01","KH01_02","KH01_03","KH01_04","KH02_01","KH02_02","KH02_03","KH02_04","KH03_01","KH03_02","KH03_03","KH03_04","KH05_01","KH05_02","KH05_03","KH07_01","KH07_02","KH07_04","KH08_04","KH09_01","KH09_02","KH09_03","KH09_04","KH10_01","KH10_02","KH10_03","KH10_04","KV01_01","KV01_02","KV01_03","KV01_04","NC01_01","NC01_02","NC01_03","NC01_04","NS01_01","NS01_02","NS01_03","NS01_04","NS02_02","NS02_03","NS02_04","NS04_01","NS04_02","NS04_03","NS04_04","NS06_01","NS06_02","NS06_03","NS06_04","NS10_01","NS10_02","NS10_03","NS10_04","NS12_01","NS12_02","NS12_03","NS12_04","NS38_01","NS38_02","NS38_03","NS38_04","NS43_01","NS43_02","NS43_03","NS43_04","NS45_01","NS45_02","NS45_03","NS45_04","NS47_04"
"1","ASV101","Monothalamea;Psammophaga_sp",11973,"benthic","Monothalamea","CladeE","Psammophagidae","Psammophaga","Psammophaga_sp",1,0,11,33,82,0,30,52,128,0,0,0,1999,0,0,0,880,7,0,0,1089,0,0,0,2,0,0,0,1,0,0,0,0,0,1,3,0,0,0,6,0,0,0,1,0,0,0,108,1,0,0,0,0,0,0,142,0,3,5156,0,0,40,236,0,774,487,241,0,0,20,191,0,1,2,241,0,0,0,3,0,0,0,0,0,0,0,1,1
"2","ASV1016","Globothalamea;Cibicidoides_sp",279,"benthic","Globothalamea","Rotaliida","Cibicididae","Cibicidoides","Cibicidoides_sp",0.977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","ASV105","Monothalamea;CladeC_XX_sp",9346,"benthic","Monothalamea","CladeC","CladeC_X","CladeC_XX","CladeC_XX_sp",1,0,12,5,52,0,0,0,12,0,1076,182,9,0,593,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,2557,32,0,0,45,30,4,271,295,0,659,1326,106,0,780,789,0,0,249,236,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"4","ASV1058","Tubothalamea;Pyrgo_elongata",179,"benthic","Tubothalamea","Miliolida","Hauerinidae","Pyrgo","Pyrgo_elongata",0.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6,0,0,8,0,0,0,0,76,3,0,0,61,7,0,0,16,0,0
"5","ASV1059","Tubothalamea;Quinqueloculina_seminula",350,"benthic","Tubothalamea","Miliolida","Hauerinidae","Quinqueloculina","Quinqueloculina_seminula",1,0,0,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","ASV107","Monothalamea;CladeB_XX_sp",10147,"benthic","Monothalamea","CladeB","CladeB_X","CladeB_XX","CladeB_XX_sp",1,0,28,1,0,49,16,23,0,7573,0,0,8,0,1,34,4,14,0,0,3,0,0,2,9,0,0,0,13,0,0,113,0,0,0,1,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,1,0,0,84,6,0,0,0,0,3,11,0,0,0,99,0,0,71,292,367,0,0,5,42,0,1,359,1,0,7,322,18,0,0,547,0,5
"7","ASV1073","Monothalamea;CladeB_XX_sp",261,"benthic","Monothalamea","CladeB","CladeB_X","CladeB_XX","CladeB_XX_sp",0.973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,9,0,0,20,4,65
"8","ASV1074","Monothalamea;CladeB_XX_sp",242,"benthic","Monothalamea","CladeB","CladeB_X","CladeB_XX","CladeB_XX_sp",0.977,0,3,1,0,24,2,10,0,0,4,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","ASV1078","Monothalamea;CladeA_XX_sp",215,"benthic","Monothalamea","CladeA","CladeA_X","CladeA_XX","CladeA_XX_sp",0.986,0,2,1,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,1,0,0,0,0,0,0,0,163,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","ASV1079","Globothalamea;Praeglobobulimina_pupoides",274,"benthic","Globothalamea","Rotaliida","Buliminellidae","Praeglobobulimina","Praeglobobulimina_pupoides",0.984,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,45,0,0,0,65,0,0,0,43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
